#,배근찬,,,최지민,,,노연수,,,안지민,,
,Y/N,Severity,Note,Y/N,Severity,Note,Y/N,Severity,Note,Y/N,Severity,Note
1,Y,,,Y,,,Y,,,Y,,
2,Y,,,N,1,,N,1,,N,,
3,Y,,,Y,,,Y,,,Y,2,
4,N/A,,,N,,,N/A,,,N/A,,
5,Y,,,Y,,,Y,,,Y,,
6,Y,,,Y,,,Y,,,Y,,
7,Y,,,Y,,,Y,,,Y,,
8,Y,,,Y,,,Y,,,Y,,
9,Y,,,Y,,,Y,,,Y,,
10,N/A,,,N/A,,,N/A,,유희적 가치를 평가하기 힘듦,N/A,,
11,N/A,,,N/A,,,N/A,,,N/A,,
12,N/A,,,N/A,,,N/A,,,N/A,,
13,Y,,,Y,,,Y,,,Y,,
14,Y,,,Y,,,Y,,,N/A,,
15,N,0,,N,0,,Y,,,Y,,
16,N,0,,N,0,,N/A,,,N/A,,
17,N/A,,,N,0,,N/A,,,Y,,
18,N/A,,,N/A,,,N/A,,,Y,,
19,Y,,,Y,,,Y,,,Y,,
20,Y,,,Y,,,Y,,,Y,,
21,N,2,,N,3,,Y,,,N,3,
22,Y,,,Y,,,Y,,,Y,,
23,Y,,,Y,,,Y,,,Y,,
24,Y,,,Y,,,N,2,,N,2,
25,Y,,,Y,,,N,2,,N,3,
26,Y,,,Y,,,N/A,,,N/A,,
27,N/A,,,N/A,,,N/A,,,N/A,,
28,Y,,,N,0,,N,1,,N,1,
29,N,,,N,1,,N,1,,N,1,
30,N/A,,,N,0,,N,1,,N,0,
31,Y,,,N,1,,N,1,,N,1,
32,N/A,,,N/A,,,N/A,,,N,0,
33,N/A,,,N/A,,,N/A,,,N,0,
34,N/A,,,N/A,,,N/A,,,N,0,
35,N,0,,N/A,,,N/A,,,N,0,
36,N,1,,N/A,,,N/A,,,N,0,
37,N/A,,,N/A,,,N/A,,,N,0,
38,Y,,,N/A,,,N/A,,,N,1,
39,N/A,,,N/A,,,N/A,,,N,0,
40,Y,,,Y,,,Y,,,Y,,
41,Y,,,Y,,,Y,,,Y,,
42,Y,,,Y,,,Y,,,N,1,
43,Y,,,Y,,,Y,,,Y,,
44,Y,,,Y,,,Y,,,Y,,
45,Y,,,Y,,,Y,,,Y,,
46,Y,,,Y,,,Y,,,Y,,
47,Y,,,Y,,,Y,,,Y,,
48,N,,,N,2,,Y,,,Y,,
49,N,,,N,,,Y,,,Y,,
50,N,,,N,,,Y,,,Y,,
51,N,,,N,,,Y,,,Y,,
52,N,,,N,,,N,1,,N,1,
53,Y,,,Y,,,Y,,,Y,,
54,Y,,,Y,,,Y,,,N,1,
55,N,2,,N,0,,Y,,,Y,,
56,Y,,,Y,,,Y,,,Y,,
57,Y,,,Y,,,Y,,,N,0,
58,Y,,,Y,,,N/A,,,Y,,
59,Y,,,Y,,,N,1,,Y,,
60,Y,,,Y,,,N/A,,,Y,,
61,Y,,,Y,,,Y,,,N,1,
62,N/A,,,Y,,,Y,,,N,1,
63,N/A,,,N/A,,,N/A,,,N/A,,
64,N/A,,,N/A,,,N/A,,,N/A,,
65,N,2,구분이 명확하지 않음,N,2,,N,1,,N/A,,
66,?,,,N/A,,,Y,,,N/A,,
67,Y,,,Y,,,Y,,,N/A,,
68,N/A,,,N/A,,,N/A,,,N/A,,링크가 아니라 연결이 가능한 신고..?
69,N,0,의도적으로 잘 보이는 곳에 배치,N,2,,N,2,,N,,큰 아이콘
70,Y,,,N,,,Y,,,Y,,
71,Y,,,Y,,,Y,,,Y,,
72,Y,,,Y,,,Y,,,Y,0,
73,N,0,,N,0,,N,1,,N,,
74,N,,,N,1,,N,1,,N,,
75,Y,,,Y,,,Y,,,Y,,
76,Y,,,Y,,,Y,,,Y,,
77,Y,,,Y,,,Y,,,Y,,
78,Y,,,Y,,,Y,,,Y,,
79,Y,,,Y,,,Y,,,Y,,
80,Y,,,Y,,,Y,,,Y,,
81,N/A,,,N,,,Y,,,N/A,,
82,N/A,,,N,,,Y,,,N/A,,
83,N/A,,,N,,,Y,,,N/A,,
84,Y,,,Y,,,Y,,,Y,,
85,Y,,,N,2,,N,2,,Y,,
86,Y,,,Y,,,Y,,,Y,,
87,N/A,,,N,1,,N,1,,N,1,
88,N/A,,,N/A,,,N/A,,,N,0,
89,N/A,,,N/A,,,N/A,,,N,1,
90,?,,,N/A,,,Y,,,Y,,
91,N,0,,Y,,,Y,,,Y,,
92,N/A,,,Y,,,Y,,,N/A,,
93,N,1,,N,3,,N,2,,N,3,
94,N,2,,N,2,,N,2,,N,2,
95,Y,,,Y,,,Y,,,Y,,
96,Y,,,Y,,,Y,,,Y,,
97,Y,,,N,1,,N,2,,N,1,
98,Y,,,Y,,,Y,,,Y,,
99,N/A,,,Y,,,Y,,,Y,,
100,Y,,,N,1,,N,2,,N,1,"나뉘어 있기는 하나, 명확x"
101,N,,,N,,,Y,,,N/A,,
102,Y,,,Y,,,Y,,,Y,,
103,Y,,,Y,,,Y,,,Y,,
104,N,,,N,2,,Y,,,Y,,
105,Y,,,Y,,,Y,,,Y,,
106,Y,,,Y,,,Y,,,Y,,
107,Y,,,Y,,,Y,,,Y,,
108,Y,,,N,1,,N,1,,N,2,
109,Y,,,N,1,,Y,,,Y,,
110,Y,,,Y,,,Y,,,Y,,
111,N,,,Y,,,Y,,,N,1,
112,N,,,N,1,,N,1,,N,2,
113,Y,,,N,,,N,1,,N,2,
114,Y,,,Y,,,Y,,,Y,,
115,Y,,,Y,,,Y,,,N,1,
116,Y,,,Y,,,Y,,,Y,,
117,Y,,,Y,,,Y,,,Y,,
118,Y,,,Y,,,Y,,,N,1,
119,N,0,,Y,,,Y,,,N,4,
120,N,0,,N,0,,N,1,,N,2,
121,N/A,,,N/A,,,N/A,,,N,1,
122,N,1,,N,0,,N,1,,N,1,
123,N/A,,,N/A,,,N/A,,,N/A,,
124,Y,,,N,,,Y,,,Y,,
125,N/A,,,N/A,,,N/A,,,N/A,,
126,Y,,,Y,,,Y,,,Y,,
127,N,0,,N,,,N,,,N/A,,
128,Y,,,N,,,N/A,,,Y,,
129,Y,,,Y,,,Y,,,Y,,
130,N/A,,,N/A,,,N/A,,,N/A,,
131,N/A,,,N/A,,,N/A,,,Y,,
132,Y,,,Y,,,Y,,,Y,,
133,Y,,,N/A,,,N/A,,,Y,,
134,N/A,,,N/A,,,Y,,,Y,,
135,N/A,,,N/A,,,N/A,,,N/A,,
136,N/A,,,N/A,,,N/A,,,Y,,
137,N,1,,N,0,,N/A,,경찰관에게 주어지는 UI를 확인할 수 없음,N,,
138,N,0,,N,0,,N/A,,,N,,
139,N,,,N,,,N/A,,,N,,
140,N/A,,,N/A,,,N/A,,,N,,
141,N,,,N,0,,N/A,,,N,,
142,N,,,N,,,N/A,,,N,,
